,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
7511,2017,Business,Business Administration (MBA),1158,783,374,428,730
7513,2017,Business,Curric Unassigned,934,504,428,711,223
7514,2017,Business,Finance,845,540,305,472,373
7518,2017,Business,Marketing,249,87,162,216,33
7517,2017,Business,Management,118,62,56,96,22
7519,2017,Business,Nondegree,114,67,47,1,113
7515,2017,Business,Information Sys & Info Tech,113,65,48,101,12
7510,2017,Business,Business Administration,92,44,48,6,86
7523,2017,Business,Technology Management,92,53,39,11,81
7521,2017,Business,Supply Chain Management,79,29,50,74,5
