,Fall,College,Major Name,Total,Male,Female
6596,2013,ACES,Agr & Consumer Economics,694,464,230
6603,2013,ACES,Animal Sciences,627,138,489
6607,2013,ACES,Food Science & Human Nutrition,529,123,406
6606,2013,ACES,Crop Sciences,246,163,83
6612,2013,ACES,Natural Resrcs & Environ Sci,239,128,111
6610,2013,ACES,Human Development & Family St,228,23,205
6613,2013,ACES,Nondegree,119,73,46
6600,2013,ACES,Agricultural & Biological Engr,89,59,30
6611,2013,ACES,Natural Res & Env Sciences,79,55,24
6598,2013,ACES,Agric Leadership & Sci Educ,58,24,34
