,Fall,College,Major Name,Total,Male,Female
5759,2009,Business,Curric Unassigned,1038,574,464
5760,2009,Business,Finance,698,479,219
5757,2009,Business,Business Administration (MBA),345,235,107
5762,2009,Business,Management,164,68,95
5763,2009,Business,Marketing,151,58,93
5756,2009,Business,Business Administration,110,60,50
5767,2009,Business,Technology Management,52,41,11
5764,2009,Business,Nondegree,42,28,14
5761,2009,Business,Information Sys & Info Tech,37,30,7
5765,2009,Business,Supply Chain Management,35,24,11
