,Fall,College,Major Name,Total,Male,Female
3689,1998,Education,Elementary Education,237,19,218
3684,1998,Education,EDUC GEN,194,15,179
3686,1998,Education,Ed Organization and Leadership,121,41,80
3688,1998,Education,Educational Psychology,100,27,73
3691,1998,Education,Special Education,98,11,87
3681,1998,Education,ED POL ST,79,26,53
3682,1998,Education,ED SEC&CON,77,25,52
3687,1998,Education,Educ Voc Tech,77,32,45
3683,1998,Education,EDUC ELEMENTARY,72,7,65
3685,1998,Education,Early Childhood Education,54,2,52
